input,output
"[B(p, g)] P(q, t) | B(y, j) | P(e, b) | P(w, s) | B(r, n) | B(u, g) | B(n, u) | B(p, r)","[0, 0, 0, 0, 1, 1, 1, 1]"
"[S(o, t)] B(g, m) | S(c, t) | S(o, e) | S(e, c) | S(a, s)","[0, 1, 1, 1, 0]"
"[B(o, t)] P(x, d) | B(e, t) | B(o, w) | P(n, r) | P(k, h) | B(w, e) | P(m, q)","[0, 1, 1, 0, 0, 1, 0]"
"[S(l, o)] S(k, r) | B(t, n) | S(h, y) | S(l, k) | S(r, h) | S(y, o) | B(z, e)","[1, 0, 1, 1, 1, 1, 0]"
"[P(z, u)] P(r, m) | P(m, u) | P(z, r) | P(o, d) | B(l, p)","[1, 1, 1, 0, 0]"
"[B(w, r)] P(d, y) | B(w, e) | B(e, i) | S(j, n) | B(i, r) | P(a, p)","[0, 1, 1, 0, 1, 0]"
"[B(k, t)] S(g, l) | P(w, r) | B(q, o) | B(k, z) | P(e, y) | B(o, t) | B(z, q) | B(n, f)","[0, 0, 1, 1, 0, 1, 1, 0]"
"[S(k, c)] S(g, q) | S(r, c) | B(s, e) | S(d, o) | S(k, g) | P(a, v) | P(b, w) | S(q, r)","[1, 1, 0, 0, 1, 0, 0, 1]"
"[S(p, v)] S(r, v) | S(s, q) | S(f, n) | S(p, f) | S(z, w) | S(n, r)","[1, 0, 1, 1, 0, 1]"
"[S(z, q)] P(i, r) | P(e, k) | S(z, o) | S(p, g) | S(o, j) | S(g, q) | S(j, p)","[0, 0, 1, 1, 1, 1, 1]"
"[P(q, y)] P(r, y) | P(c, j) | P(q, e) | P(j, r) | S(b, v) | P(e, c) | P(h, i)","[1, 1, 1, 1, 0, 1, 0]"
"[B(n, s)] B(x, e) | B(n, m) | B(r, y) | B(y, s) | P(q, p) | B(m, r)","[0, 1, 1, 1, 0, 1]"
"[P(t, r)] P(s, u) | P(h, r) | P(t, e) | P(y, h) | P(e, y) | B(o, c)","[0, 1, 1, 1, 1, 0]"
"[B(x, o)] B(t, o) | B(x, d) | S(s, v) | B(d, i) | B(b, c) | B(f, t) | B(i, f)","[1, 1, 0, 1, 0, 1, 1]"
"[S(c, h)] S(a, x) | S(c, a) | S(v, m) | P(s, d) | S(x, h) | P(w, o)","[1, 1, 0, 0, 1, 0]"
"[P(k, z)] P(l, z) | B(n, f) | P(k, j) | P(j, l) | B(y, t) | P(w, s) | S(i, c)","[1, 0, 1, 1, 0, 0, 0]"
"[P(b, n)] P(m, e) | P(d, v) | S(k, s) | P(a, u) | P(b, m) | B(h, i) | P(u, n) | P(e, a)","[1, 0, 0, 1, 1, 0, 1, 1]"
"[P(a, z)] P(l, f) | P(x, u) | B(p, i) | P(a, x) | P(u, z)","[0, 1, 0, 1, 1]"
"[B(b, v)] B(m, v) | B(y, r) | B(z, j) | B(l, m) | B(b, l)","[1, 0, 0, 1, 1]"
"[P(m, d)] B(z, e) | B(w, x) | P(g, d) | B(v, c) | P(q, g) | P(m, q) | B(y, p)","[0, 0, 1, 0, 1, 1, 0]"
"[B(b, e)] B(b, j) | P(t, m) | S(y, d) | B(v, q) | B(j, v) | B(s, e) | B(q, s) | B(h, i)","[1, 0, 0, 1, 1, 1, 1, 0]"
"[S(t, a)] S(t, l) | B(y, s) | S(o, r) | P(d, n) | S(r, a) | S(i, x) | S(l, o)","[1, 0, 1, 0, 1, 0, 1]"
"[B(z, k)] S(t, r) | B(a, x) | B(b, k) | B(h, j) | B(j, b) | S(u, p) | S(y, d) | B(z, h)","[0, 0, 1, 1, 1, 0, 0, 1]"
"[S(v, d)] S(s, g) | P(a, k) | S(f, y) | B(t, h) | S(j, s) | S(g, u) | S(v, j) | S(u, d) | P(m, r)","[1, 0, 0, 0, 1, 1, 1, 1, 0]"
"[B(z, r)] B(o, u) | B(z, o) | B(g, w) | B(u, r) | S(j, l)","[1, 1, 0, 1, 0]"
"[B(n, y)] B(k, w) | B(u, f) | B(z, v) | B(t, d) | B(c, y) | B(r, t) | S(o, s) | B(n, r) | B(d, c)","[0, 0, 0, 1, 1, 1, 0, 1, 1]"
"[S(x, n)] S(g, l) | B(f, e) | S(r, g) | S(d, i) | S(l, n) | S(x, r) | B(k, h) | B(a, z)","[1, 0, 1, 0, 1, 1, 0, 0]"
"[S(z, m)] B(h, o) | S(p, m) | S(a, n) | S(z, x) | B(c, b) | P(e, j) | S(x, f) | S(f, p)","[0, 1, 0, 1, 0, 0, 1, 1]"
"[S(n, q)] S(a, b) | P(x, r) | S(w, q) | P(h, u) | S(n, l) | S(l, a) | S(b, w)","[1, 0, 1, 0, 1, 1, 1]"
"[S(y, u)] S(y, v) | B(c, j) | P(t, o) | S(v, m) | S(m, u)","[1, 0, 0, 1, 1]"
"[S(q, s)] S(t, s) | S(q, r) | B(g, o) | S(h, c) | S(r, h) | P(p, n) | S(c, t)","[1, 1, 0, 1, 1, 0, 1]"
"[B(f, b)] B(q, o) | B(u, p) | B(i, a) | B(r, e) | B(f, u) | B(o, b) | B(p, q)","[1, 1, 0, 0, 1, 1, 1]"
"[B(i, o)] B(l, k) | P(t, h) | B(y, d) | B(k, o) | B(i, l)","[1, 0, 0, 1, 1]"
"[B(u, h)] P(y, t) | B(s, k) | B(k, h) | S(d, m) | S(l, x) | B(f, s) | S(e, j) | B(p, f) | B(u, p)","[0, 1, 1, 0, 0, 1, 0, 1, 1]"
"[B(x, a)] B(t, v) | B(x, l) | B(z, a) | P(p, m) | B(l, z) | P(i, j)","[0, 1, 1, 0, 1, 0]"
"[S(v, k)] S(v, t) | S(n, k) | P(u, o) | S(t, n) | S(p, s)","[1, 1, 0, 1, 0]"
"[B(e, i)] P(h, p) | B(j, l) | B(a, i) | B(v, g) | B(l, s) | B(f, o) | B(e, j) | B(s, a)","[0, 1, 1, 0, 1, 0, 1, 1]"
"[P(c, z)] P(c, o) | P(d, k) | S(m, q) | B(h, l) | P(g, v) | P(v, z) | P(o, g)","[1, 0, 0, 0, 1, 1, 1]"
"[B(k, o)] B(k, f) | S(a, b) | B(f, r) | B(x, o) | B(r, x) | S(c, e)","[1, 0, 1, 1, 1, 0]"
"[B(t, n)] B(m, x) | S(o, s) | B(y, p) | B(w, n) | B(h, g) | B(a, j) | B(d, a) | B(t, d) | B(j, w)","[0, 0, 0, 1, 0, 1, 1, 1, 1]"
"[B(r, t)] S(j, d) | B(r, o) | B(o, f) | B(s, i) | B(v, m) | B(a, n) | B(f, t)","[0, 1, 1, 0, 0, 0, 1]"
"[P(k, f)] B(a, w) | S(q, o) | P(j, f) | P(k, y) | P(y, j)","[0, 0, 1, 1, 1]"
"[B(u, a)] P(w, t) | B(p, j) | B(s, c) | S(m, d) | B(u, p) | B(j, a)","[0, 1, 0, 0, 1, 1]"
"[P(j, n)] P(t, n) | P(j, d) | P(d, t) | S(b, p) | B(w, z) | P(o, s)","[1, 1, 1, 0, 0, 0]"
"[P(g, n)] P(y, v) | B(r, l) | B(d, h) | P(u, n) | P(v, u) | P(g, p) | S(w, t) | P(p, y)","[1, 0, 0, 1, 1, 1, 0, 1]"
"[P(v, l)] P(d, l) | S(f, n) | P(g, p) | P(h, g) | P(p, d) | P(z, b) | P(v, h) | S(c, y)","[1, 0, 1, 1, 1, 0, 1, 0]"
"[S(d, m)] P(r, u) | P(n, f) | S(e, o) | S(y, b) | S(d, t) | S(t, e) | S(o, m) | P(g, k)","[0, 0, 1, 0, 1, 1, 1, 0]"
"[B(u, q)] P(d, z) | P(m, x) | B(y, r) | P(l, s) | B(u, g) | B(r, q) | P(t, a) | B(v, y) | B(g, v)","[0, 0, 1, 0, 1, 1, 0, 1, 1]"
"[S(u, a)] S(v, a) | S(f, v) | B(j, q) | S(u, z) | S(t, p) | S(z, f)","[1, 1, 0, 1, 0, 1]"
"[B(a, r)] B(i, h) | P(g, d) | B(j, m) | B(m, r) | B(a, j)","[0, 0, 1, 1, 1]"
"[S(a, o)] S(a, u) | P(r, i) | B(z, y) | S(b, o) | S(u, b)","[1, 0, 0, 1, 1]"
"[S(u, j)] B(b, g) | P(n, i) | S(u, l) | B(m, v) | S(x, j) | S(r, h) | S(l, x)","[0, 0, 1, 0, 1, 0, 1]"
"[B(a, p)] B(t, e) | B(w, t) | B(h, p) | B(a, w) | B(x, b) | B(e, h) | B(z, r) | P(q, f)","[1, 1, 1, 1, 0, 1, 0, 0]"
